# 文件说明: 最终大矩阵干净 benchmark 的稳健统计结果，含均值、中位数和截尾均值。
# CSV格式: 注释行以#开头；随后第一行是字段名；第二行是中文字段说明；第三行开始是数据
# 维护命令: python3 scripts/annotate_results_csv.py
method,metric,count,mean,median,trimmed_mean,geomean,min,q1,q3,max,iqr,stdev,cv
方法名,指标名,样本数量,算术平均值,中位数,截尾平均值,几何平均值,最小值,第一四分位数,第三四分位数,最大值,四分位距,标准差,变异系数
cusparse_spsv,analysis_ms,8,2.49277003855,1.94398403168,2.25893338521,2.26608594849,1.50510400534,1.67226800323,2.7230360806,4.88345599174,1.05076807737,1.27747947847,0.512473857884
cusparse_spsv,solve_ms,8,0.121954000555,0.111487999558,0.109335999315,0.103443089459,0.0327679999173,0.0849320003763,0.135423995554,0.286848008633,0.0504919951782,0.0759070817741,0.622423876451
cusparse_spsv,total_1_ms,8,2.6147240391,2.02175203152,2.39406138721,2.38552454846,1.53787200525,1.78420400247,2.9745240882,5.01555198431,1.19032008573,1.30010869146,0.497225968025
cusparse_spsv,total_10_ms,8,3.71231004409,2.9368000403,3.61021340514,3.4053209862,1.83278400451,2.63208398037,5.23791615665,6.2044159174,2.60583217628,1.65342414116,0.445389561089
cusparse_spsv,total_100_ms,8,14.688170094,12.7995599508,13.6291066433,12.8664811627,4.78190399706,10.5327040888,18.2300156057,30.9488168955,7.69731151685,8.03165581407,0.546811193134
mkl,analysis_ms,8,1.462785,1.45344475,1.43983175,0.998542910392,0.2560815,0.355046875,2.522499625,2.807208,2.16745275,1.08280969706,0.740238447249
mkl,solve_ms,8,0.2060618125,0.22389375,0.207747416667,0.166016911293,0.0405365,0.10925875,0.2976305,0.3614735,0.18837175,0.120447334138,0.584520405199
mkl,total_1_ms,8,1.6688468125,1.68523375,1.65892275,1.178104823,0.30168,0.463040125,2.834463375,3.095558,2.37142325,1.19134063376,0.713870575083
mkl,total_10_ms,8,3.523403125,3.77133475,3.55401108333,2.71424924874,0.6665085,1.446368875,5.515651625,6.19665,4.06928275,2.22403100772,0.631216732464
mkl,total_100_ms,8,22.06896625,24.549354,22.2512785833,17.6823867077,4.3147935,11.279656375,31.86832825,38.729265,20.588671875,13.0184058311,0.589896494633
hcl_fing,analysis_ms,8,1.18251600116,1.37991198897,1.21399200459,1.10841262652,0.540335983038,0.856256015599,1.45449602604,1.63583999872,0.59824001044,0.406454369812,0.343719974539
hcl_fing,solve_ms,8,0.0997700016014,0.0893440004438,0.085245333612,0.0856671756118,0.0347840003669,0.0693120025098,0.100539998151,0.251904010773,0.0312279956415,0.0659911137812,0.661432421789
hcl_fing,total_1_ms,8,1.28228600277,1.47168798745,1.29923733821,1.19754977076,0.575119983405,0.925568018109,1.55138802715,1.88774400949,0.625820009038,0.457091025481,0.356465737359
hcl_fing,total_10_ms,8,2.18021601718,2.27812000737,2.06644534071,1.98332568838,0.888175986707,1.5493760407,2.45274398662,4.15488010645,0.903367945924,0.99720113414,0.457386390285
hcl_fing,total_100_ms,8,11.1595161613,10.3190800473,9.73852536579,9.70745548153,4.01873601973,7.78745626658,11.5013438202,26.826241076,3.71388755366,6.90294853735,0.618570593704
split_sptrsv,analysis_ms,8,6.40936145208,5.82479671389,6.01987094881,5.18438655118,2.27778654912,2.59702516363,8.17652868159,12.8778793747,5.57950351796,4.34744020197,0.678295370681
split_sptrsv,solve_ms,8,0.2025048125,0.18012175,0.201275083333,0.180915742291,0.0924505,0.126239,0.30765725,0.3199375,0.18141825,0.0976713660383,0.482316271068
split_sptrsv,total_1_ms,8,6.61186626458,6.00491846389,6.22265769881,5.37195091024,2.37195704912,2.72283416363,8.49327193159,13.1870268747,5.77043776796,4.43291846765,0.670448900547
split_sptrsv,total_10_ms,8,8.43440957708,7.62601421389,8.04773844881,7.04439644754,3.21949154912,3.85511516363,11.3439611816,15.9693543747,7.48884601796,5.22150430798,0.619071703864
split_sptrsv,total_100_ms,8,26.6598427021,23.8369717139,26.3172983662,23.4300874555,11.5823220447,15.2060537897,39.8508536816,43.7926293747,24.6447998918,13.7257497897,0.51484736587
